"id","profileName","text","date","title","rating","images"
"R1S96DPRUCV1CW","suchita pradip kute","
  bigger screen , nice camera , excellent proccessor , bigger battery
","Reviewed in India on 17 July 2020","nice phone",5,"https://images-na.ssl-images-amazon.com/images/I/71wpJdCXmfL.jpg"
"R17W8YG0NJZMS7","Anurag Kumar","
  I was use this phone for 7 days I feel this is awesome for range 10k-16k .
","Reviewed in India on 21 July 2020","Range",5,""
"R1HDAKJNFUAWSR","Hiren patel","
  Nice to
","Reviewed in India on 1 August 2020","Good 1",4,""
"RF2BUP8AXQ1ZZ","Siddiqui","
  Powerful designI love his looking like a 50k phoneIn this price segment no phone to comparisonA1 phoneGood batteryBig screenGood camera
","Reviewed in India on 22 March 2020","Awesome phone always love Mi",5,"https://images-na.ssl-images-amazon.com/images/I/61-8O65RsjL.jpg
https://images-na.ssl-images-amazon.com/images/I/61DlEqTZJ0L.jpg
https://images-na.ssl-images-amazon.com/images/I/61QoztqWUpL.jpg"
"RT2BSFWUH9DMU","Mamata mangaraj","
  Quick lunch finger print sensor, battery life is good, camera quality also good.
","Reviewed in India on 31 May 2020","Realy a good product",4,"https://images-na.ssl-images-amazon.com/images/I/61Igi6Px8yL.jpg"
"R12FER0QDH87S6","Rakesh kumar","
  Battry life is awesome.If u buy this phone paisa vasul phone.Gaming experience fabluse I like this mobile.Superb phone.#Mi Love
","Reviewed in India on 28 March 2020","Redmi note 9pro",5,""
"RWZ15LIKV9KY7","Praneeth Kumar","
  Good phone
","Reviewed in India on 11 July 2020","Redmi note 9 pro",4,""
"REUQJL2V5IPZU","Faraz","
  network speed very very low camera quality good phone is bad
","Reviewed in India on 17 May 2020","Not good phone",1,""
"R25GOCP5HPTENG","Anshul Sharma","
  Display quality is very poor, user interface is just ok.
","Reviewed in India on 5 July 2020","Not good one",3,""
"R2SZUXVC31BPAD","mohammad fareed ahmad","
  Cemera are also good, battery life is good and fingers print reader best
","Reviewed in India on 16 July 2020","I am very happy",5,"https://images-na.ssl-images-amazon.com/images/I/71FKj7c5UmL.jpg"
"R3FDLO7IGWJ4LW","Ramesh","
  Phone receiver is not working properly.abnormal noise comes from that.
","Reviewed in India on 1 August 2020","No satisfaction",2,""
"R2YCDCIHI0AG2P","utkarsh kumar","
  Camera should have been better
","Reviewed in India on 18 May 2020","Overall good value for money",5,""
"R151XIGTLNXKDV","Shivam Saini","
  Very good phone.Not very slim but ok. Face unlock is ok but not superb.
","Reviewed in India on 16 May 2020","Ggod phone",5,""
"R62UJECOYDDHX","Ayush kumar","
  #mi lovers osm product under 15k the battery backup is too good and the fingerprint  sensor works very fast i am redmi user it is one of the best phone till now 👌👌
","Reviewed in India on 31 March 2020","I love #mi",5,""
"R2KCYG6WZX8RI0","Jyoti","
  #mi love good product value for money awesome phone very good in this prize range
","Reviewed in India on 22 March 2020","Awesome phone",4,""
